1	если	если	SCONJ	_	_	_	_	_	@nns1982m-words#@nns1982m#2900.41#2900.732
2	тебя	ты	PRON	_	Case=Acc|Number=Sing|Person=2	_	_	_	@nns1982m-words#@nns1982m#2900.732#2901.054
3	попросят	просить	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Person=3|Tense=Fut|VerbForm=Fin|Voice=Act	_	_	_	@nns1982m-words#@nns1982m#2901.054#2901.376
4	/	/	PUNCT	_	_	_	_	_	@nns1982m-words#@nns1982m#2901.376#2901.698
5	а	а	CCONJ	_	_	_	_	_	@nns1982m-words#@nns1982m#2901.698#2902.02
6	тебя	ты	PRON	_	Case=Acc|Number=Sing|Person=2	_	_	_	@nns1982m-words#@nns1982m#2902.02#2902.342
7	просили	просить	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@nns1982m-words#@nns1982m#2902.342#2902.664
8	наверняка	наверняка	ADV	_	Degree=Pos	_	_	_	@nns1982m-words#@nns1982m#2902.664#2902.986
9	/	/	PUNCT	_	_	_	_	_	@nns1982m-words#@nns1982m#2902.986#2903.308
10	назвать	назвать	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	_	_	_	@nns1982m-words#@nns1982m#2903.308#2903.63
11	/	/	PUNCT	_	_	_	_	_	@nns1982m-words#@nns1982m#2903.63#2903.952
12	кроме	кроме	ADP	_	_	_	_	_	@nns1982m-words#@nns1982m#2903.952#2904.274
13	тебя	ты	PRON	_	Case=Gen|Number=Sing|Person=2	_	_	_	@nns1982m-words#@nns1982m#2904.274#2904.596
14	самого	сам	ADJ	_	Case=Gen|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@nns1982m-words#@nns1982m#2904.596#2904.918
15	/	/	PUNCT	_	_	_	_	_	@nns1982m-words#@nns1982m#2904.918#2905.24
16	трёх	три	NUM	_	Case=Loc	_	_	_	@nns1982m-words#@nns1982m#2905.24#2905.562
17	самых	самый	ADJ	_	Case=Gen|Degree=Pos|Number=Plur	_	_	_	@nns1982m-words#@nns1982m#2905.562#2905.884
18	сильных	сильный	ADJ	_	Case=Gen|Degree=Pos|Number=Plur	_	_	_	@nns1982m-words#@nns1982m#2905.884#2906.206
